time,场站名称,lon,lat,实测风速(m/s),出线柜功率(MW),prs,t,difssi,ssi,ws,dirssi,rhu
2024-08-14 00:00:00,test1,100.37,35.96,6.15,22.69,702.7,9.3,0.0,0.0,5.7,0.0,92.3
2024-08-14 00:15:00,test1,100.37,35.96,6.48,22.79,702.8,9.2,0.0,0.0,5.3,0.0,92.7
2024-08-14 00:30:00,test1,100.37,35.96,6.48,16.79,702.8,9.1,0.0,0.0,5.0,0.0,93.1
2024-08-14 00:45:00,test1,100.37,35.96,5.61,10.39,702.8,8.9,0.0,0.0,5.1,0.0,93.3
2024-08-14 01:00:00,test1,100.37,35.96,5.34,9.5,702.7,8.9,0.0,0.0,5.3,0.0,92.4
2024-08-14 01:15:00,test1,100.37,35.96,5.67,12.13,703.1,8.8,0.0,0.0,5.2,0.0,91.8
2024-08-14 01:30:00,test1,100.37,35.96,4.42,9.52,703.0,8.7,0.0,0.0,4.8,0.0,92.6
2024-08-14 01:45:00,test1,100.37,35.96,3.42,6.03,702.6,8.7,0.0,0.0,4.7,0.0,93.5
2024-08-14 02:00:00,test1,100.37,35.96,2.77,6.16,703.1,8.7,0.0,0.0,4.5,0.0,93.9
2024-08-14 02:15:00,test1,100.37,35.96,2.65,6.83,703.8,8.8,0.0,0.0,4.2,0.0,93.7
2024-08-14 02:30:00,test1,100.37,35.96,2.57,3,703.5,8.7,0.0,0.0,4.2,0.0,93.8
2024-08-14 02:45:00,test1,100.37,35.96,1.68,0.83,702.8,8.6,0.0,0.0,4.0,0.0,94.7
2024-08-14 03:00:00,test1,100.37,35.96,1.01,1.26,702.2,8.5,0.0,0.0,3.6,0.0,95.3
2024-08-14 03:15:00,test1,100.37,35.96,1.42,1.65,701.6,8.4,0.0,0.0,3.3,0.0,95.4
2024-08-14 03:30:00,test1,100.37,35.96,1.61,0.83,701.4,8.3,0.0,0.0,2.9,0.0,95.1
2024-08-14 03:45:00,test1,100.37,35.96,1.93,1.6,701.4,8.3,0.0,0.0,2.6,0.0,94.6
2024-08-14 04:00:00,test1,100.37,35.96,1.34,3.54,701.7,8.3,0.0,0.0,2.3,0.0,94.8
2024-08-14 04:15:00,test1,100.37,35.96,1.94,3.15,702.0,8.2,0.0,0.0,2.1,0.0,95.0
2024-08-14 04:30:00,test1,100.37,35.96,2.18,3.03,702.2,8.2,0.0,0.0,2.2,0.0,95.3
2024-08-14 04:45:00,test1,100.37,35.96,2.41,1.12,702.2,8.3,0.0,0.0,2.2,0.0,95.3
2024-08-14 05:00:00,test1,100.37,35.96,1.74,1.59,702.0,8.4,0.0,0.0,2.2,0.0,94.7
2024-08-14 05:15:00,test1,100.37,35.96,1.3,0.93,701.7,8.4,0.0,0.0,2.6,0.0,94.3
2024-08-14 05:30:00,test1,100.37,35.96,1.32,0.57,702.0,8.3,0.0,0.0,2.6,0.0,94.6
2024-08-14 05:45:00,test1,100.37,35.96,2.04,1.88,702.3,8.1,0.0,0.0,2.5,0.0,95.0
2024-08-14 06:00:00,test1,100.37,35.96,3.22,9.04,702.8,8.1,0.0,0.0,2.2,0.0,95.1
2024-08-14 06:15:00,test1,100.37,35.96,3.52,7.95,703.2,8.0,0.0,0.0,2.1,0.0,95.4
2024-08-14 06:30:00,test1,100.37,35.96,3.7,6.25,703.3,8.0,0.0,0.0,2.6,0.0,94.6
2024-08-14 06:45:00,test1,100.37,35.96,3.98,8.4,703.1,8.0,0.0,3.3,2.7,0.0,93.6
2024-08-14 07:00:00,test1,100.37,35.96,3.29,5.55,703.0,8.2,3.3,21.5,3.0,0.0,91.8
2024-08-14 07:15:00,test1,100.37,35.96,2.39,2.83,703.2,8.5,21.5,55.8,2.7,0.0,89.8
2024-08-14 07:30:00,test1,100.37,35.96,1.24,0.62,703.1,8.7,55.8,89.5,2.6,4.2,87.9
2024-08-14 07:45:00,test1,100.37,35.96,0.96,0,702.9,9.2,88.8,156.3,2.2,107.9,85.3
2024-08-14 08:00:00,test1,100.37,35.96,1.71,0.07,702.6,9.6,131.3,209.3,1.8,303.6,82.7
2024-08-14 08:15:00,test1,100.37,35.96,2.07,0.48,702.7,10.1,134.3,281.0,1.4,461.2,79.9
2024-08-14 08:30:00,test1,100.37,35.96,1.86,1.05,702.7,10.5,131.7,329.2,1.4,551.8,77.3
2024-08-14 08:45:00,test1,100.37,35.96,1.94,0.06,702.6,10.8,104.5,401.7,1.7,713.8,75.3
2024-08-14 09:00:00,test1,100.37,35.96,1.45,0.14,702.9,11.2,158.3,438.5,1.9,616.4,73.3
2024-08-14 09:15:00,test1,100.37,35.96,1.41,0.01,703.0,11.6,168.3,505.1,1.9,660.1,71.6
2024-08-14 09:30:00,test1,100.37,35.96,1.57,0.3,702.7,11.9,233.8,539.4,1.6,559.8,70.1
2024-08-14 09:45:00,test1,100.37,35.96,0.99,0.03,702.4,12.2,251.1,601.8,1.3,587.1,68.5
2024-08-14 10:00:00,test1,100.37,35.96,1.26,0.03,702.5,12.5,207.1,651.0,1.3,703.0,66.7
2024-08-14 10:15:00,test1,100.37,35.96,1.48,0.01,702.8,12.8,216.7,707.5,1.3,723.9,64.9
2024-08-14 10:30:00,test1,100.37,35.96,1.29,0.3,702.7,13.1,229.7,742.5,1.4,725.1,63.1
2024-08-14 10:45:00,test1,100.37,35.96,1.7,0.46,702.5,13.4,246.7,791.5,1.4,728.4,61.3
2024-08-14 11:00:00,test1,100.37,35.96,2.12,0.03,702.4,13.8,272.2,820.9,1.3,709.7,59.6
2024-08-14 11:15:00,test1,100.37,35.96,1.94,0.35,702.6,14.1,259.0,865.1,1.4,750.6,57.9
2024-08-14 11:30:00,test1,100.37,35.96,1.9,0.38,703.0,14.4,261.9,890.1,1.4,758.6,56.3
2024-08-14 11:45:00,test1,100.37,35.96,1.85,0.07,703.3,14.7,281.1,922.4,1.4,749.5,54.8
2024-08-14 12:00:00,test1,100.37,35.96,1.77,0.17,703.2,15.0,258.9,945.9,1.5,788.4,53.3
2024-08-14 12:15:00,test1,100.37,35.96,2.77,0,703.0,15.4,197.7,975.9,1.7,873.0,51.8
2024-08-14 12:30:00,test1,100.37,35.96,4.61,3.64,702.9,15.7,128.6,994.0,1.8,959.2,50.0
2024-08-14 12:45:00,test1,100.37,35.96,7.31,5.6,702.8,16.1,113.4,1010.7,2.0,981.4,47.9
2024-08-14 13:00:00,test1,100.37,35.96,7.66,5.84,702.7,16.4,113.7,1018.0,2.2,983.2,45.6
2024-08-14 13:15:00,test1,100.37,35.96,7.1,5.64,702.6,16.7,113.9,1023.6,2.2,984.6,43.2
2024-08-14 13:30:00,test1,100.37,35.96,5.42,5.55,702.5,10.7,113.9,1023.6,2.2,984.6,41.3
2024-08-14 13:45:00,test1,100.37,35.96,6.42,5.8,702.6,17.0,114.0,1023.6,2.2,983.0,39.9
2024-08-14 14:00:00,test1,100.37,35.96,6.43,5.5,702.3,17.2,113.7,1018.0,2.2,981.3,39.9
2024-08-14 14:15:00,test1,100.37,35.96,5.6,5.54,702.2,17.4,113.3,1010.8,2.2,979.0,38.5
2024-08-14 14:30:00,test1,100.37,35.96,5.5,5.85,702.2,17.6,112.9,1000.3,2.3,974.8,38.2
2024-08-14 14:45:00,test1,100.37,35.96,5.61,6.95,702.1,17.9,112.0,980.2,2.2,971.7,38.1
2024-08-14 15:00:00,test1,100.37,35.96,3.88,7.14,701.7,18.0,111.3,964.1,2.2,965.6,38.0
2024-08-14 15:15:00,test1,100.37,35.96,3.8,2.41,701.3,18.1,109.9,934.0,2.2,960.8,37.8
2024-08-14 15:30:00,test1,100.37,35.96,2.73,0.52,700.9,18.3,108.8,910.9,2.2,952.5,37.7
2024-08-14 15:45:00,test1,100.37,35.96,4.62,0.19,700.7,18.5,107.0,872.9,2.3,946.0,37.4
2024-08-14 16:00:00,test1,100.37,35.96,6.34,5.27,700.4,18.7,105.7,844.8,2.6,934.7,37.0
2024-08-14 16:15:00,test1,100.37,35.96,3.74,2.13,700.3,18.7,103.5,798.8,2.8,926.2,36.1
2024-08-14 16:30:00,test1,100.37,35.96,2.83,1.13,700.3,18.9,101.9,765.7,2.9,913.0,34.7
2024-08-14 16:45:00,test1,100.37,35.96,4.2,1.25,700.3,19.0,99.3,713.1,2.9,902.4,32.7
2024-08-14 17:00:00,test1,100.37,35.96,5.88,11.96,700.4,19.2,97.3,675.0,2.8,890.0,29.7
2024-08-14 17:15:00,test1,100.37,35.96,3.44,3.27,700.3,19.4,95.2,635.0,3.2,868.5,26.8
2024-08-14 17:30:00,test1,100.37,35.96,2.86,4.54,700.2,19.0,91.8,573.0,3.7,849.8,26.5
2024-08-14 17:45:00,test1,100.37,35.96,7.07,11.68,700.4,19.7,89.1,528.0,3.7,815.9,27.4
2024-08-14 18:00:00,test1,100.37,35.96,5.46,9.05,700.6,19.7,84.8,459.2,3.2,790.3,27.5
2024-08-14 18:15:00,test1,100.37,35.96,3.11,6.97,700.8,19.6,81.6,344.1,3.2,737.0,27.4
2024-08-14 18:30:00,test1,100.37,35.96,2.79,2.7,701.1,19.0,78.5,82.2,6.8,19.7,33.0
2024-08-14 18:45:00,test1,100.37,35.96,3.41,5.64,701.3,18.3,75.9,135.8,8.2,40.6,38.4
2024-08-14 19:00:00,test1,100.37,35.96,6.23,20.07,701.6,17.2,125.3,110.3,8.0,50.9,39.9
2024-08-14 19:15:00,test1,100.37,35.96,6.12,11.76,701.8,16.6,99.3,37.9,5.2,0.6,37.7
2024-08-14 19:30:00,test1,100.37,35.96,5.88,6.68,701.0,16.8,37.8,70.0,1.2,172.8,37.9
